session_id,condition,direction,n_trials,hits,cum_z,mean_dev
20260313_181628_CD_FORMAL,D,,,,,
20260314_105231_CD_FORMAL,D,,,,,
20260315_125753_CD_FORMAL,D,,,,,
20260315_125808_CD_FORMAL,D,,,,,
20260315_125823_CD_FORMAL,D,,,,,
20260315_125838_CD_FORMAL,D,,,,,
20260315_125853_CD_FORMAL,D,,,,,
20260315_125908_CD_FORMAL,D,,,,,
20260315_125923_CD_FORMAL,D,,,,,
20260315_125938_CD_FORMAL,D,,,,,
20260315_125952_CD_FORMAL,D,,,,,
20260315_130007_CD_FORMAL,D,,,,,
20260315_130022_CD_FORMAL,D,,,,,
20260315_130037_CD_FORMAL,D,,,,,
20260315_130052_CD_FORMAL,D,,,,,
20260315_130107_CD_FORMAL,D,,,,,
20260315_130122_CD_FORMAL,D,,,,,
20260315_130137_CD_FORMAL,D,,,,,
20260315_130152_CD_FORMAL,D,,,,,
20260315_130207_CD_FORMAL,D,,,,,
20260315_130222_CD_FORMAL,D,,,,,
20260315_130237_CD_FORMAL,D,,,,,
20260315_130252_CD_FORMAL,D,,,,,
20260315_130307_CD_FORMAL,D,,,,,
20260315_130322_CD_FORMAL,D,,,,,
20260315_130336_CD_FORMAL,D,,,,,
20260315_130351_CD_FORMAL,D,,,,,
20260315_130406_CD_FORMAL,D,,,,,
20260315_130421_CD_FORMAL,D,,,,,
20260315_130436_CD_FORMAL,D,,,,,
20260315_130451_CD_FORMAL,D,,,,,
20260315_130506_CD_FORMAL,D,,,,,
20260315_130831_CD_FORMAL,D,,,,,
20260315_132426_CA_FORMAL,A,,,,,
20260315_132628_CA_FORMAL,A,,,,,
20260315_132839_CA_FORMAL,A,,,,,
20260315_133138_CA_FORMAL,A,,,,,
20260315_133335_CA_FORMAL,A,,,,,
20260315_133534_CA_FORMAL,A,,,,,
20260315_133732_CA_FORMAL,A,,,,,
20260315_133945_CA_FORMAL,A,,,,,
20260315_134141_CA_FORMAL,A,,,,,
20260315_134334_CA_FORMAL,A,,,,,
20260315_134531_CA_FORMAL,A,,,,,
20260315_134736_CA_FORMAL,A,,,,,
20260315_134928_CA_FORMAL,A,,,,,
20260315_135122_CA_FORMAL,A,,,,,
20260315_135318_CA_FORMAL,A,,,,,
20260315_135519_CA_FORMAL,A,,,,,
20260315_135746_CA_FORMAL,A,,,,,
20260315_140009_CA_FORMAL,A,,,,,
20260315_140255_CA_FORMAL,A,,,,,
20260315_140513_CA_FORMAL,A,,,,,
20260315_140733_CA_FORMAL,A,,,,,
20260315_141020_CA_FORMAL,A,,,,,
20260315_141247_CA_FORMAL,A,,,,,
20260315_141450_CA_FORMAL,A,,,,,
20260315_141647_CA_FORMAL,A,,,,,
20260315_141847_CA_FORMAL,A,,,,,
20260315_142058_CA_FORMAL,A,,,,,
20260315_142253_CA_FORMAL,A,,,,,
20260315_142448_CA_FORMAL,A,,,,,
20260315_142701_CA_FORMAL,A,,,,,
